2020-04-21 11:04:161 INFO       HomePage :21 - Clicking on service ButtonBy.xpath: //span[@class='button__text'][contains(text(),'Services')]
2020-04-21 11:04:318 INFO       MainMenuPage :19 - Clicking on Main menBy.xpath: //a[contains(text(),'Benefits')]
2020-04-21 11:04:540 INFO       BenefitsPage :26 - Clicking on apply for housing benefit linkBy.xpath: //h2[contains(text(),'Apply for Housing Benefit')]
2020-04-21 11:04:18 INFO       BenefitsPage :32 - Clicking on entitlement calc btnBy.xpath: //a[@class='button']
2020-04-21 11:04:403 INFO       BenefitsPage :38 - Clicking on start ButtonBy.id: StartCalculationBtn
2020-04-21 11:04:742 INFO       BenefitsPage :44 - Clicking on Mortgage or owned outrightBy.xpath: //div[contains(@class,'wrap-box housing-messages func-crop-buttons multiple-items-wrap')]//label[contains(@class,'ClaimForm.Web.Helpers.CFRadioButtonRenderedOption.4 jcf-label-active')]
2020-04-21 11:04:336 INFO       BenefitsPage :50 - Entering PostCodeBy.id: Postcode
2020-04-21 11:04:393 INFO       BenefitsPage :57 - Clicking on next buttonBy.id: nextButton
2020-04-21 11:04:520 INFO       HomePage :21 - Clicking on service ButtonBy.xpath: //span[@class='button__text'][contains(text(),'Services')]
2020-04-21 11:04:405 INFO       MainMenuPage :19 - Clicking on Main menBy.xpath: //a[contains(text(),'Benefits')]
2020-04-21 11:04:622 INFO       BenefitsPage :26 - Clicking on apply for housing benefit linkBy.xpath: //h2[contains(text(),'Apply for Housing Benefit')]
2020-04-21 11:04:720 INFO       BenefitsPage :32 - Clicking on entitlement calc btnBy.xpath: //a[@class='button']
2020-04-21 11:04:210 INFO       BenefitsPage :38 - Clicking on start ButtonBy.id: StartCalculationBtn
2020-04-21 11:04:419 INFO       BenefitsPage :44 - Clicking on Mortgage or owned outrightBy.xpath: //div[contains(@class,'wrap-box housing-messages func-crop-buttons multiple-items-wrap')]//label[contains(@class,'ClaimForm.Web.Helpers.CFRadioButtonRenderedOption.4 jcf-label-active')]
